,price,price_open,price_high,price_low,change
0,"4,333.70","4,330.70","4,339.60","4,175.70",0.04
1,"4,331.80","4,340.20","4,405.70","4,305.00",-0.23
2,"4,341.70","4,351.50","4,364.00","4,243.60",-0.23
3,"4,351.50","4,324.10","4,461.20","4,277.40",0.61
4,"4,325.20","4,135.00","4,370.80","4,093.00",4.75
5,"4,129.10","4,086.90","4,248.60","4,055.90",1.35
6,"4,074.00","3,998.90","4,140.00","3,600.00",1.79
7,"4,002.50","4,066.30","4,093.50","3,956.40",-1.52
8,"4,064.30","4,145.00","4,192.00","4,040.90",-1.95
9,"4,145.10","4,088.20","4,184.10","3,920.00",1.34
10,"4,090.20","4,269.70","4,359.00","3,957.00",-3.99
11,"4,260.00","4,386.40","4,489.10","4,178.10",-2.88
12,"4,386.30","4,160.00","4,403.60","3,928.10",5.65
13,"4,151.90","4,321.00","4,430.00","3,841.90",-3.88
14,"4,319.50","4,061.60","4,330.30","3,969.30",6.57
15,"4,053.30","3,866.20","4,183.70","3,836.10",4.86
16,"3,865.50","3,643.40","3,965.40","3,590.00",6.08
17,"3,644.10","3,404.70","3,690.60","3,380.00",6.93
18,"3,407.90","3,340.20","3,444.40","3,310.00",2.04
19,"3,339.90","3,415.00","3,424.40","3,236.80",-2.20
20,"3,415.00","3,395.00","3,482.90","3,343.80",0.54
21,"3,396.70","3,232.50","3,440.00","3,190.00",5.23
22,"3,227.90","3,255.00","3,309.80","3,156.00",-0.88
23,"3,256.40","2,860.00","3,331.90","2,855.00",13.86
24,"2,860.00","2,790.30","2,874.80","2,762.60",2.50
25,"2,790.30","2,702.00","2,813.00","2,698.00",3.27
26,"2,702.00","2,733.80","2,757.80","2,640.00",-1.07
27,"2,731.20","2,854.30","2,901.60","2,615.80",-4.37
28,"2,856.00","2,748.90","2,883.50","2,694.80",3.89
29,"2,749.00","2,713.70","2,756.20","2,595.00",1.29
30,"2,714.10","2,784.80","2,794.20","2,662.60",-2.54
31,"2,784.80","2,664.60","2,819.90","2,655.50",4.50
32,"2,664.90","2,527.74","2,682.20","2,511.00",5.51
33,"2,525.70","2,560.90","2,612.00","2,404.60",-1.37
34,"2,560.90","2,769.70","2,790.10","2,435.70",-7.54
35,"2,769.70","2,750.10","2,812.00","2,707.30",0.81
36,"2,747.50","2,845.70","2,875.70","2,656.20",-3.45
37,"2,845.70","2,659.00","2,912.90","2,642.80",6.82
38,"2,664.00","2,874.50","2,874.50","2,615.00",-6.73
39,"2,856.30","2,253.30","2,919.90","2,253.30",26.77
40,"2,253.10","2,302.20","2,399.90","2,214.20",-2.13
41,"2,302.10","2,220.00","2,380.20","2,139.80",3.74
42,"2,219.00","1,925.00","2,223.30","1,924.10",15.28
43,"1,924.90","1,979.70","2,048.80","1,835.80",-2.71
44,"1,978.60","2,206.50","2,210.10","1,975.70",-10.27
45,"2,205.10","2,329.40","2,345.60","2,138.00",-5.32
46,"2,329.00","2,375.60","2,400.00","2,293.80",-1.91
47,"2,374.40","2,285.60","2,394.00","2,195.80",4.04
48,"2,282.10","2,318.30","2,372.80","2,183.30",-1.56
49,"2,318.30","2,477.90","2,498.10","2,240.00",-6.44
50,"2,478.00","2,542.00","2,555.60","2,473.70",-2.52
51,"2,542.00","2,479.30","2,542.60","2,436.80",2.53
52,"2,479.30","2,593.20","2,598.00","2,447.00",-4.39
53,"2,593.10","2,598.60","2,603.30","2,546.00",-0.21
54,"2,598.50","2,579.90","2,617.60","2,482.50",0.62
55,"2,582.60","2,525.90","2,628.00","2,512.40",2.32
56,"2,524.00","2,445.10","2,584.00","2,416.20",3.23
57,"2,445.00","2,346.20","2,470.00","2,302.00",4.06
58,"2,349.50","2,420.60","2,440.90","2,291.00",-2.94
59,"2,420.70","2,472.40","2,511.10","2,406.60",-2.00
60,"2,470.10","2,518.20","2,537.00","2,424.10",-1.91
61,"2,518.20","2,521.30","2,561.10","2,403.20",-0.12
62,"2,521.20","2,393.50","2,524.00","2,208.10",5.29
63,"2,394.60","2,480.00","2,510.40","2,258.70",-3.35
64,"2,477.70","2,502.60","2,595.00","2,369.10",-0.99
65,"2,502.60","2,674.90","2,700.00","2,454.10",-6.44
66,"2,674.90","2,672.80","2,725.30","2,652.80",0.08
67,"2,672.80","2,624.40","2,709.00","2,554.80",1.97
68,"2,621.20","2,715.30","2,760.00","2,573.30",-3.36
69,"2,712.20","2,585.00","2,779.60","2,568.20",5.09
70,"2,580.80","2,494.90","2,592.70","2,481.40",3.58
71,"2,491.50","2,610.10","2,635.00","2,421.00",-4.54
72,"2,610.00","2,435.50","2,636.90","2,368.70",7.10
73,"2,437.00","2,377.50","2,480.00","2,261.20",2.51
74,"2,377.40","2,394.30","2,455.00","2,050.00",-0.74
75,"2,395.04","2,677.10","2,720.00","2,284.40",-10.51
76,"2,676.40","2,570.00","2,730.00","2,532.60",4.07
77,"2,571.80","2,941.80","2,961.90","2,298.23",-12.41
78,"2,936.30","2,806.00","3,000.00","2,793.80",4.64
79,"2,806.00","2,809.90","2,890.50","2,750.80",-0.11
80,"2,809.00","2,781.50","2,849.80","2,769.60",0.97
81,"2,782.10","2,642.00","2,789.30","2,570.10",5.28
82,"2,642.63","2,844.60","2,850.00","2,600.20",-7.07
83,"2,843.60","2,636.90","2,896.50","2,620.00",7.87
84,"2,636.20","2,488.20","2,637.50","2,480.00",5.95
85,"2,488.20","2,461.60","2,498.00","2,376.40",1.11
86,"2,461.00","2,405.90","2,481.00","2,348.00",2.29
87,"2,405.88","2,312.00","2,407.80","2,271.90",4.08
88,"2,311.60","2,191.83","2,366.70","2,187.40",5.46
89,"2,191.83","2,147.29","2,240.10","2,002.10",2.10
90,"2,146.70","2,207.40","2,263.10","2,080.40",-2.75
91,"2,207.40","2,056.90","2,249.80","1,990.10",7.33
92,"2,056.60","1,980.00","2,193.00","1,955.50",4.27
93,"1,972.30","2,125.90","2,207.90","1,810.00",-7.29
94,"2,127.30","2,268.10","2,477.00","2,008.70",-5.54
95,"2,252.00","2,392.60","2,689.00","2,142.10",-5.96
96,"2,394.80","2,250.00","2,443.80","2,247.70",6.47
97,"2,249.30","2,087.50","2,262.90","2,060.00",7.85
98,"2,085.50","2,026.50","2,219.90","1,979.20",2.77
99,"2,029.20","2,059.30","2,099.10","2,001.00",-1.48
100,"2,059.70","1,966.50","2,072.20","1,963.60",4.74
101,"1,966.50","1,941.50","2,000.00","1,925.00",1.29
102,"1,941.50","1,870.00","1,949.90","1,861.00",3.82
103,"1,870.00","1,786.20","1,892.90","1,766.40",4.72
104,"1,785.70","1,772.00","1,795.10","1,728.00",0.74
105,"1,772.50","1,826.80","1,828.50","1,720.00",-3.04
106,"1,828.10","1,820.60","1,852.40","1,780.00",0.42
107,"1,820.40","1,735.00","1,824.00","1,666.00",4.92
108,"1,735.00","1,853.90","1,864.80","1,700.80",-6.41
109,"1,853.90","1,796.90","1,908.00","1,766.60",3.18
110,"1,796.80","1,759.80","1,817.40","1,722.30",2.09
111,"1,760.00","1,703.50","1,813.90","1,695.10",3.33
112,"1,703.20","1,619.80","1,715.00","1,618.90",5.14
113,"1,619.90","1,597.00","1,631.30","1,575.10",1.43
114,"1,597.10","1,545.10","1,605.00","1,545.00",3.37
115,"1,545.10","1,607.20","1,665.50","1,511.70",-3.86
116,"1,607.10","1,619.40","1,701.90","1,521.10",-0.66
117,"1,617.80","1,558.50","1,626.90","1,542.00",3.71
118,"1,560.00","1,533.00","1,604.60","1,479.20",1.75
119,"1,533.10","1,435.00","1,560.00","1,432.00",6.82
120,"1,435.20","1,425.40","1,443.50","1,403.30",0.81
121,"1,423.60","1,415.60","1,436.60","1,401.50",0.57
122,"1,415.60","1,440.30","1,447.00","1,368.30",-1.71
123,"1,440.30","1,399.30","1,449.70","1,392.50",2.93
124,"1,399.30","1,371.00","1,411.70","1,365.10",2.12
125,"1,370.30","1,345.00","1,378.50","1,342.10",1.88
126,"1,345.00","1,355.30","1,359.60","1,326.90",-0.75
127,"1,355.20","1,346.40","1,359.00","1,336.00",0.57
128,"1,347.50","1,327.10","1,353.10","1,290.10",1.65
129,"1,325.60","1,308.70","1,333.10","1,307.50",1.31
130,"1,308.40","1,260.50","1,325.70","1,260.10",3.80
131,"1,260.50","1,265.40","1,272.00","1,255.00",-0.39
132,"1,265.40","1,240.00","1,274.80","1,237.00",2.05
133,"1,240.00","1,212.50","1,247.00","1,202.20",2.31
134,"1,212.00","1,193.30","1,217.60","1,190.40",1.57
135,"1,193.30","1,206.80","1,215.00","1,190.00",-1.12
136,"1,206.80","1,187.00","1,219.10","1,184.00",1.67
137,"1,187.00","1,227.40","1,235.10","1,163.50",-3.29
138,"1,227.40","1,236.90","1,239.00","1,221.00",-0.66
139,"1,235.60","1,220.30","1,243.40","1,209.10",1.25
140,"1,220.30","1,215.90","1,229.90","1,208.10",0.36
141,"1,215.90","1,188.10","1,226.90","1,180.20",2.34
142,"1,188.10","1,196.60","1,202.60","1,171.30",-0.71
143,"1,196.60","1,191.50","1,208.90","1,176.70",0.43
144,"1,191.50","1,140.30","1,206.40","1,140.30",4.46
145,"1,140.60","1,145.80","1,146.70","1,112.30",-0.38
146,"1,145.00","1,150.10","1,161.90","1,124.10",-0.45
147,"1,150.20","1,107.80","1,159.90","1,107.80",3.85
148,"1,107.60","1,093.50","1,118.20","1,081.00",1.32
149,"1,093.20","1,081.30","1,106.90","1,070.20",1.06
150,"1,081.70","1,042.10","1,089.40","1,041.00",3.91
151,"1,041.00","1,041.70","1,053.50","1,022.20",-0.08
152,"1,041.80","1,044.70","1,058.90","1,009.30",-0.28
153,"1,044.70","1,042.80","1,066.50","1,016.80",0.19
154,"1,042.70",968.90,"1,046.90",960.10,7.61
155,969.00,971.31,"1,005.50",950.10,-0.33
156,972.17,942.13,980.00,891.00,3.08
157,943.10,"1,032.70","1,034.20",928.30,-8.70
158,"1,033.00","1,039.40","1,055.00","1,018.00",-0.59
159,"1,039.10","1,115.90","1,116.00",986.30,-6.81
160,"1,115.00","1,040.40","1,120.90","1,040.10",7.31
161,"1,039.00","1,016.50","1,052.10","1,011.20",2.25
162,"1,016.10",971.90,"1,058.90",971.00,4.64
163,971.00,"1,067.80","1,097.10",935.11,-9.12
164,"1,068.40","1,169.10","1,169.60","1,066.00",-8.61
165,"1,169.00","1,256.10","1,259.70","1,132.50",-6.93
166,"1,256.10","1,245.00","1,262.00","1,241.30",0.89
167,"1,245.00","1,238.50","1,257.90","1,218.90",0.52
168,"1,238.50","1,224.40","1,246.90","1,207.50",1.09
169,"1,225.20","1,172.40","1,232.60","1,167.50",4.47
170,"1,172.80","1,113.50","1,196.10","1,107.00",5.32
171,"1,113.60","1,190.40","1,328.80",971.00,-6.45
172,"1,190.40","1,150.00","1,207.50","1,136.00",3.58
173,"1,149.30","1,232.40","1,243.60","1,142.20",-6.74
174,"1,232.40","1,279.20","1,281.80","1,185.90",-3.67
175,"1,279.30","1,278.40","1,287.80","1,268.60",0.07
176,"1,278.40","1,267.80","1,279.80","1,245.30",0.84
177,"1,267.80","1,289.10","1,291.80","1,240.10",-1.58
178,"1,288.20","1,257.60","1,294.70","1,256.60",2.05
179,"1,262.30","1,232.90","1,283.10","1,213.00",2.39
180,"1,232.80","1,189.10","1,233.50","1,186.00",3.68
181,"1,189.10","1,196.00","1,216.00","1,177.80",-0.54
182,"1,195.50","1,178.30","1,202.60","1,171.00",1.46
183,"1,178.30","1,153.00","1,185.90","1,130.90",2.19
184,"1,153.00","1,185.40","1,189.90","1,131.50",-2.71
185,"1,185.10","1,189.90","1,222.20","1,111.10",-0.49
186,"1,190.90","1,125.50","1,196.90","1,120.40",5.83
187,"1,125.30","1,129.60","1,140.00","1,106.40",-0.38
188,"1,129.60","1,091.30","1,134.00","1,085.00",3.52
189,"1,091.20","1,056.20","1,100.30","1,044.10",3.31
190,"1,056.20","1,059.80","1,066.00","1,045.00",-0.34
191,"1,059.80","1,056.20","1,071.10","1,053.10",0.34
192,"1,056.20","1,038.50","1,065.80","1,034.10",1.71
193,"1,038.40","1,013.90","1,045.70","1,013.90",2.43
194,"1,013.80","1,013.30","1,017.30","1,002.40",0.01
195,"1,013.70",996.52,"1,019.00",988.88,1.73
196,996.50,996.00,"1,004.50",975.90,0.05
197,996.01,"1,000.10","1,005.40",992.33,-0.43
198,"1,000.30",992.10,"1,009.00",984.19,0.84
199,992.00,984.97,"1,002.00",949.39,0.71
200,984.97,"1,049.00","1,078.00",936.41,-6.09
201,"1,048.80","1,052.50","1,068.00","1,013.20",-0.31
202,"1,052.10","1,022.60","1,056.30","1,021.70",2.88
203,"1,022.60","1,006.60","1,026.20","1,006.00",1.59
204,"1,006.60","1,031.10","1,033.00",996.35,-2.38
205,"1,031.10","1,016.80","1,040.00","1,001.60",1.52
206,"1,015.70","1,007.00","1,020.50",988.34,0.99
207,"1,005.70",983.73,"1,010.50",970.11,2.23
208,983.73,966.19,984.99,960.10,1.82
209,966.19,917.36,969.38,916.75,5.32
210,917.36,912.55,920.79,910.01,0.53
211,912.56,919.43,922.99,910.72,-0.75
212,919.43,916.70,923.98,915.01,0.30
213,916.70,915.12,922.16,905.05,0.17
214,915.12,893.35,917.64,893.35,2.44
215,893.35,886.10,899.61,884.20,0.82
216,886.10,908.41,927.00,884.20,-2.63
217,910.03,923.72,928.82,910.03,-1.48
218,923.72,924.02,939.73,892.00,-0.03
